HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Yugoslavia,1960,4,5,9
Czechoslovakia,Soviet Union,1960,0,3,3
Czechoslovakia,France,1960,2,0,2
Soviet Union,Yugoslavia,1960,2,1,3
Spain,Hungary,1964,2,1,3
Denmark,Soviet Union,1964,0,3,3
Hungary,Denmark,1964,3,1,4
Spain,Soviet Union,1964,2,1,3
Italy,Soviet Union,1968,0,0,0
Yugoslavia,England,1968,1,0,1
England,Soviet Union,1968,2,0,2
Italy,Yugoslavia,1968,1,1,2
Italy,Yugoslavia,1968,2,0,2
Hungary,Soviet Union,1972,0,1,1
Belgium,West Germany,1972,1,2,3
Hungary,Belgium,1972,1,2,3
West Germany,Soviet Union,1972,3,0,3
Czechoslovakia,Netherlands,1976,3,1,4
Yugoslavia,West Germany,1976,2,4,6
Netherlands,Yugoslavia,1976,3,2,5
Czechoslovakia,West Germany,1976,2,2,4
Czechoslovakia,West Germany,1980,0,1,1
Netherlands,Greece,1980,1,0,1
West Germany,Netherlands,1980,3,2,5
Greece,Czechoslovakia,1980,1,3,4
Netherlands,Czechoslovakia,1980,1,1,2
Greece,West Germany,1980,0,0,0
Belgium,England,1980,1,1,2
Spain,Italy,1980,0,0,0
Belgium,Spain,1980,2,1,3
England,Italy,1980,0,1,1
Spain,England,1980,1,2,3
Italy,Belgium,1980,0,0,0
Czechoslovakia,Italy,1980,1,1,2
Belgium,West Germany,1980,1,2,3
France,Denmark,1984,1,0,1
Belgium,Yugoslavia,1984,2,0,2
France,Belgium,1984,5,0,5
Denmark,Yugoslavia,1984,5,0,5
France,Yugoslavia,1984,3,2,5
Denmark,Belgium,1984,3,2,5
West Germany,Portugal,1984,0,0,0
Romania,Spain,1984,1,1,2
West Germany,Romania,1984,2,1,3
Portugal,Spain,1984,1,1,2
West Germany,Spain,1984,0,1,1
Portugal,Romania,1984,1,0,1
France,Portugal,1984,3,2,5
Denmark,Spain,1984,1,1,2
France,Spain,1984,2,0,2
West Germany,Italy,1988,1,1,2
Denmark,Spain,1988,2,3,5
West Germany,Denmark,1988,2,0,2
Italy,Spain,1988,1,0,1
West Germany,Spain,1988,2,0,2
Italy,Denmark,1988,2,0,2
England,Republic of Ireland,1988,0,1,1
Netherlands,Soviet Union,1988,0,1,1
England,Netherlands,1988,1,3,4
Republic of Ireland,Soviet Union,1988,1,1,2
England,Soviet Union,1988,1,3,4
Republic of Ireland,Netherlands,1988,0,1,1
West Germany,Netherlands,1988,1,2,3
Soviet Union,Italy,1988,2,0,2
Soviet Union,Netherlands,1988,0,2,2
Sweden,France,1992,1,1,2
Denmark,England,1992,0,0,0
France,England,1992,0,0,0
Sweden,Denmark,1992,1,0,1
Sweden,England,1992,2,1,3
France,Denmark,1992,1,2,3
Netherlands,Scotland,1992,1,0,1
CIS,Germany,1992,1,1,2
Scotland,Germany,1992,0,2,2
Netherlands,CIS,1992,0,0,0
Netherlands,Germany,1992,3,1,4
Scotland,CIS,1992,3,0,3
Sweden,Germany,1992,2,3,5
Netherlands,Denmark,1992,2,2,4
Denmark,Germany,1992,2,0,2
England,Switzerland,1996,1,1,2
Netherlands,Scotland,1996,0,0,0
Switzerland,Netherlands,1996,0,2,2
Scotland,England,1996,0,2,2
Scotland,Switzerland,1996,1,0,1
Netherlands,England,1996,1,4,5
Spain,Bulgaria,1996,1,1,2
Romania,France,1996,0,1,1
Bulgaria,Romania,1996,1,0,1
France,Spain,1996,1,1,2
France,Bulgaria,1996,3,1,4
Romania,Spain,1996,1,2,3
Germany,Czech Republic,1996,2,0,2
Italy,Russia,1996,2,1,3
Czech Republic,Italy,1996,2,1,3
Russia,Germany,1996,0,3,3
Russia,Czech Republic,1996,3,3,6
Italy,Germany,1996,0,0,0
Denmark,Portugal,1996,1,1,2
Turkey,Croatia,1996,0,1,1
Portugal,Turkey,1996,1,0,1
Croatia,Denmark,1996,3,0,3
Croatia,Portugal,1996,0,3,3
Turkey,Denmark,1996,0,3,3
Spain,England,1996,0,0,0
France,Netherlands,1996,0,0,0
Germany,Croatia,1996,2,1,3
Czech Republic,Portugal,1996,1,0,1
France,Czech Republic,1996,0,0,0
Germany,England,1996,1,1,2
Czech Republic,Germany,1996,1,2,3
Germany,Romania,2000,1,1,2
Portugal,England,2000,3,2,5
Romania,Portugal,2000,0,1,1
England,Germany,2000,1,0,1
England,Romania,2000,2,3,5
Portugal,Germany,2000,3,0,3
Belgium,Sweden,2000,2,1,3
Turkey,Italy,2000,1,2,3
