home,score,away,year
France ,4–5, Yugoslavia,1960
Czechoslovakia ,0–3, Soviet Union,1960
Czechoslovakia ,2–0, France,1960
Soviet Union ,2–1 (a.e.t.), Yugoslavia,1960
Spain ,2–1 (a.e.t.), Hungary,1964
Denmark ,0–3, Soviet Union,1964
Hungary ,3–1 (a.e.t.), Denmark,1964
Spain ,2–1, Soviet Union,1964
Italy ,0–0 (a.e.t.)Italy won on coin toss, Soviet Union,1968
Yugoslavia ,1–0, England,1968
England ,2–0, Soviet Union,1968
Italy ,1–1 (a.e.t.), Yugoslavia,1968
Italy ,2–0, Yugoslavia,1968
Hungary ,0–1, Soviet Union,1972
Belgium ,1–2, West Germany,1972
Hungary ,1–2, Belgium,1972
West Germany ,3–0, Soviet Union,1972
Czechoslovakia ,3–1 (a.e.t.), Netherlands,1976
Yugoslavia ,2–4 (a.e.t.), West Germany,1976
Netherlands ,3–2 (a.e.t.), Yugoslavia,1976
Czechoslovakia ,2–2 (a.e.t.), West Germany,1976
Czechoslovakia ,0–1, West Germany,1980
Netherlands ,1–0, Greece,1980
West Germany ,3–2, Netherlands,1980
Greece ,1–3, Czechoslovakia,1980
Netherlands ,1–1, Czechoslovakia,1980
Greece ,0–0, West Germany,1980
Belgium ,1–1, England,1980
Spain ,0–0, Italy,1980
Belgium ,2–1, Spain,1980
England ,0–1, Italy,1980
Spain ,1–2, England,1980
Italy ,0–0, Belgium,1980
Czechoslovakia ,1–1, Italy,1980
Belgium ,1–2, West Germany,1980
France ,1–0, Denmark,1984
Belgium ,2–0, Yugoslavia,1984
France ,5–0, Belgium,1984
Denmark ,5–0, Yugoslavia,1984
France ,3–2, Yugoslavia,1984
Denmark ,3–2, Belgium,1984
West Germany ,0–0, Portugal,1984
Romania ,1–1, Spain,1984
West Germany ,2–1, Romania,1984
Portugal ,1–1, Spain,1984
West Germany ,0–1, Spain,1984
Portugal ,1–0, Romania,1984
France ,3–2 (a.e.t.), Portugal,1984
Denmark ,1–1 (a.e.t.), Spain,1984
France ,2–0, Spain,1984
West Germany ,1–1, Italy,1988
Denmark ,2–3, Spain,1988
West Germany ,2–0, Denmark,1988
Italy ,1–0, Spain,1988
West Germany ,2–0, Spain,1988
Italy ,2–0, Denmark,1988
England ,0–1, Republic of Ireland,1988
Netherlands ,0–1, Soviet Union,1988
England ,1–3, Netherlands,1988
Republic of Ireland ,1–1, Soviet Union,1988
England ,1–3, Soviet Union,1988
Republic of Ireland ,0–1, Netherlands,1988
West Germany ,1–2, Netherlands,1988
Soviet Union ,2–0, Italy,1988
Soviet Union ,0–2, Netherlands,1988
Sweden ,1–1, France,1992
Denmark ,0–0, England,1992
France ,0–0, England,1992
Sweden ,1–0, Denmark,1992
Sweden ,2–1, England,1992
France ,1–2, Denmark,1992
Netherlands ,1–0, Scotland,1992
CIS ,1–1, Germany,1992
Scotland ,0–2, Germany,1992
Netherlands ,0–0, CIS,1992
Netherlands ,3–1, Germany,1992
Scotland ,3–0, CIS,1992
Sweden ,2–3, Germany,1992
Netherlands ,2–2 (a.e.t.), Denmark,1992
Denmark ,2–0, Germany,1992
England ,1–1,  Switzerland,1996
Netherlands ,0–0, Scotland,1996
Switzerland ,0–2, Netherlands,1996
Scotland ,0–2, England,1996
Scotland ,1–0,  Switzerland,1996
Netherlands ,1–4, England,1996
Spain ,1–1, Bulgaria,1996
Romania ,0–1, France,1996
Bulgaria ,1–0, Romania,1996
France ,1–1, Spain,1996
France ,3–1, Bulgaria,1996
Romania ,1–2, Spain,1996
Germany ,2–0, Czech Republic,1996
Italy ,2–1, Russia,1996
Czech Republic ,2–1, Italy,1996
Russia ,0–3, Germany,1996
Russia ,3–3, Czech Republic,1996
Italy ,0–0, Germany,1996
Denmark ,1–1, Portugal,1996
Turkey ,0–1, Croatia,1996
Portugal ,1–0, Turkey,1996
Croatia ,3–0, Denmark,1996
Croatia ,0–3, Portugal,1996
Turkey ,0–3, Denmark,1996
